Img_Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
imageee2971,0.0,1946.2845,2123.6943,2887.3162,0.0,2122.971,0.0,1987.5525,2023.2161,1973.2753
imageee1096,0.0,3009.7698,3264.97,4426.856,0.0,3239.5696,0.0,3184.9731,3162.4082,3073.9333
imageee4428,0.0,3300.5032,3553.4683,4815.6465,0.0,3550.8787,0.0,3497.505,3451.6423,3346.942
imageee1186,0.0,1524.7809,1624.9695,2230.0222,0.0,1632.1223,0.0,1578.0947,1586.8623,1559.1974
imageee1840,0.0,2714.6445,2927.407,3996.1062,0.0,2936.669,0.0,2824.0386,2837.362,2756.0461
imageee3814,0.0,2075.419,2246.477,3030.5864,0.0,2236.3691,0.0,2176.1316,2167.1565,2097.9927
imageee1324,0.0,1168.2668,1269.6567,1740.3666,0.0,1277.231,0.0,1218.8472,1233.5956,1204.4283
imageee338,0.0,3033.5117,3247.2556,4428.685,0.0,3252.2986,0.0,3171.6912,3157.7825,3067.145
imageee2390,0.0,2995.102,3197.0378,4384.245,0.0,3226.369,0.0,3162.8252,3161.8923,3027.4705
imageee2725,0.0,1989.7128,2140.378,2930.7737,0.0,2141.866,0.0,2100.711,2079.2056,2036.7456
imageee514,0.0,2420.9856,2599.2266,3515.956,0.0,2597.0823,0.0,2692.029,2508.056,2460.1746
imageee3670,0.0,2337.896,2530.9087,3441.1172,0.0,2548.067,0.0,2513.938,2447.1934,2392.8718
imageee360,0.0,2307.772,2503.7117,3388.9434,0.0,2488.7402,0.0,2479.1836,2403.2654,2345.7185
imageee1645,0.0,2750.732,2960.6611,4032.6404,0.0,2949.068,0.0,2879.9578,2878.5261,2805.285
imageee1670,0.0,2906.0876,3118.379,4259.9497,0.0,3103.9412,0.0,3041.3586,3068.4373,2970.5818
imageee2320,0.0,1359.1221,1465.4567,1993.129,0.0,1457.3823,0.0,1396.9983,1412.1277,1383.7913
imageee4758,0.0,3096.6238,3315.0813,4547.529,0.0,3301.2153,0.0,3259.9326,3264.533,3173.0732
imageee2134,0.0,2430.466,2562.855,3508.888,0.0,2576.0579,0.0,2448.0674,2502.0315,2454.6646
imageee3790,0.0,2633.04,2848.6157,3912.623,0.0,2868.6501,0.0,2784.7986,2773.5596,2667.3252
imageee1800,0.0,2558.8198,2716.4167,3730.7993,0.0,2729.716,0.0,2678.2874,2670.93,2605.6902
imageee2526,0.0,2715.9102,2906.2466,4028.347,0.0,2938.2725,0.0,2830.2996,2847.9868,2775.6348
imageee645,0.0,2364.5242,2496.8135,3434.536,0.0,2514.9045,0.0,2437.0654,2439.1929,2434.92
imageee3518,0.0,2329.4338,2504.329,3412.245,0.0,2494.39,0.0,2434.146,2435.0325,2371.8555
imageee276,0.0,3183.657,3448.005,4691.6074,0.0,3480.614,0.0,3397.2268,3342.0894,3233.785
imageee3569,0.0,2832.1184,3045.4167,4157.67,0.0,3057.908,0.0,2952.9915,2944.8755,2853.3306
imageee4842,0.0,2615.113,2812.251,3797.6204,0.0,2790.9202,0.0,2720.7166,2700.034,2640.171
imageee1625,0.0,2288.69,2464.0796,3342.571,0.0,2444.799,0.0,2334.3203,2378.7764,2330.5535
imageee2862,0.0,1714.208,1835.6005,2513.6125,0.0,1842.6056,0.0,1739.038,1788.8402,1733.5706
imageee1017,0.0,3028.9795,3260.776,4458.6265,0.0,3255.0156,0.0,3175.0422,3174.6824,3091.6143
imageee1707,0.0,3717.7644,3982.7004,5431.8228,0.0,3981.8293,0.0,3868.1692,3884.972,3772.7954
imageee1368,0.0,2478.2803,2629.2554,3611.2173,0.0,2610.7676,0.0,2537.6833,2606.099,2542.3264
imageee4165,0.0,2676.1667,2878.098,3930.9058,0.0,2873.9087,0.0,2746.819,2790.312,2725.5664
imageee4672,0.0,2501.424,2677.4788,3673.3994,0.0,2702.6145,0.0,2602.526,2649.9214,2545.8367
imageee2378,0.0,2553.233,2762.1853,3770.157,0.0,2775.273,0.0,2673.8994,2652.2336,2576.0325
imageee3766,0.0,2965.7505,3198.7986,4308.0176,0.0,3147.23,0.0,3028.9146,3067.5469,3007.0474
imageee272,0.0,2020.85,2176.747,2995.3123,0.0,2207.8752,0.0,2007.2203,2099.1138,2040.0992
imageee3202,0.0,2575.7324,2785.3464,3797.161,0.0,2768.5637,0.0,2725.0913,2695.8188,2597.5076
imageee933,0.0,2639.9302,2822.2666,3811.0312,0.0,2777.53,0.0,2721.774,2746.707,2662.5085
imageee1266,0.0,3017.8298,3270.247,4430.6553,0.0,3251.011,0.0,3189.4365,3157.029,3080.4553
imageee2885,0.0,3446.5205,3711.3,5062.0967,0.0,3703.532,0.0,3487.3489,3593.8655,3493.7397
imageee2248,0.0,2757.5933,3000.11,4027.3542,0.0,2978.8342,0.0,2891.1533,2867.7632,2820.183
imageee2889,0.0,2078.316,2195.1404,3034.0955,0.0,2191.579,0.0,2084.5925,2179.0483,2134.812
imageee2204,0.0,1960.1884,2111.0942,2890.2166,0.0,2113.8948,0.0,2022.9113,2046.9414,2008.2689
imageee2664,0.0,2978.088,3194.6187,4361.768,0.0,3196.1848,0.0,3105.4705,3113.283,3032.7153
imageee4201,0.0,2761.2031,2977.958,4045.3665,0.0,2960.0947,0.0,2854.9124,2882.6904,2813.0513
